form_name,packet,question,var_name,missingness,conformity,data_type
a1,I,4a. Gender--Man,GENMAN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4b. Gender--Woman,GENWOMAN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4c. Gender--Transgender man,GENTRMAN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4d. Gender--Transgender woman,GENTRWOMAN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4e. Gender--Non-binary/genderqueer,GENNONBI,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4f. Gender--Two-spirit,GENTWOSPIR,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4g. Gender--I use a different term (specify),GENOTH,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4g1. Gender--I use a different term specify,GENOTHX,Conditional (e.g. skip pattern),text,String
a1,I,4h. Gender--Don't know,GENDKN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,4i. Gender--Prefer not to answer,GENNOANS,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,"5. What sex were you assigned at birth, on your original birth certificate?",BIRTHSEX,Always,"Integers 1-2,8, 9",Integer
a1,I,"6. Have you ever been diagnosed by a medical doctor or other health professional with an intersex condition or a ""Difference of Sex Development (DSD)"" or were you born with (or developed naturally in puberty) genitals, reproductive organs, and/or chromosomal patterns that do not fit standard definitions of male or female?",INTERSEX,Always,"Integers 0-1,8,9",Integer
a1,I,7a. Sexual Orientation--Lesbian or Gay,SEXORNGAY,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7b. Sexual Orientation--Straight/Heterosexual,SEXORNHET,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7c. Sexual Orientation--Bisexual,SEXORNBI,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7d. Sexual Orientation--Two-Spirit,SEXORNTWOS,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7e. Sexual Orientation--I use a different term,SEXORNOTH,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7e1. Sexual Orientation--I use a different term (specify),SEXORNOTHX,Conditional (e.g. skip pattern),text,String
a1,I,7f. Sexual Orientation--Don't know,SEXORNDNK,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,7g. Sexual Orientation--Prefer not to answer,SEXORNNOAN,Conditional (e.g. skip pattern),1 or blank,Integer
a1,I,8. What is your primary language?,PREDOMLAN,Always,"Integer 1-3, 8, 9",Integer
a1,I,8a. Participant's primary language--Other(specify),PREDOMLANX,Conditional (e.g. skip pattern),text,String
a1,I,9. Are you left- or right-handed?,HANDED,Always,"Integers 1-3, 9",Integer
a1,I,10a. How many years of education have you completed?,EDUC,Always,"Integers 0-36, 99",Integer
a1,I,10b. What is your highest achieved level of education?,LVLEDUC,Always,"Integers 1-6, 9",Integer
a1,I,11. What is your current marital status?,MARISTAT,Always,"Integers 1-6, 9",Integer
a1,I,12. What is your living situation?,LIVSITUA,Always,"Integers 1-6, 9",Integer
a1,I,13. What is your primary type of residence?,RESIDENC,Always,"Integers 1-4, 6, 9",Integer
a1,I,14. What are the first three digits of the ZIP code of your primary residence?,ZIP,Conditional (e.g. skip pattern),"006-999, or blank",String
a1,I,"15. Have you ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard?",SERVED,Always,"Integers 0-1,9",Integer
a1,I,16. Have you ever obtained medical care or prescription drugs from a Veterans Affairs (VA) facility?,MEDVA,Conditional (e.g. skip pattern),"Integers 0-1,9",Integer
a1,I,17. How much time each week do you spend performing activities that cause large increases in breathing or heart rate for at least 10 minutes continuously?,EXRTIME,Always,"Integers 1-4,8,9",Integer
a1,I,18. Do you feel like your memory is becoming worse?,MEMWORS,Always,"Integers 0-2,9",Integer
a1,I,19. About how often do you have trouble remembering things?,MEMTROUB,Always,"Integers 1-5,9",Integer
a1,I,"20. Compared to 10 years ago, would you say that your memory is much worse, a little worse, the same, a little better, or much better?",MEMTEN,Always,"Integers 1-5,9",Integer
a1,I,21. ADI state-only decile,ADISTATE,Conditional (e.g. skip pattern),"1-10, or blank",Integer
a1,I,22. ADI national percentile,ADINAT,Conditional (e.g. skip pattern),"1-100,or blank",Integer
a1,I,23. Participant's primary occupation throughout their working life,PRIOCC,Conditional (e.g. skip pattern),"100-731, or blank",Integer
a1,I,24. ADRC enrollment type:,SOURCENW,Always,Integers 1-2,Integer
a1,I,25. Principal referral source,REFERSC,Always,"Integers 1-6,8,9",Integer
a1,I,25a. Principal referral source - other (specify),REFERSCX,Conditional (e.g. skip pattern),text,String
a1,I,"26. If the referral source was a self-referral or a nonprofessional contact, how did the referral source learn of the ADRC?",REFLEARNED,Conditional (e.g. skip pattern),"Integers 1-10,88,99",Integer
a1,I,26a. Center social media - specify,REFCTRSOCX,Conditional (e.g. skip pattern),text,String
a1,I,26b. Center registry - specify,REFCTRREGX,Conditional (e.g. skip pattern),text,String
a1,I,26c. Other website - specify,REFOTHWEBX,Conditional (e.g. skip pattern),text,String
a1,I,26d. Other media - specify,REFOTHMEDX,Conditional (e.g. skip pattern),text,String
a1,I,26e. Other registry - specify,REFOTHREGX,Conditional (e.g. skip pattern),text,String
a1,I,26f. Other - specify,REFOTHX,Conditional (e.g. skip pattern),text,String
